dataset,model,prompting_strategy,prompt_template,num_generations,input_samples,generated_response,validity,novelty,uniqueness,drug_likeness,sample_size
Moses,mistral,zero_shot,"Create a new, never seen drug-like molecule and provide its SMILES string. Dont respond with anything apart from the SMILES string that encodes the molecule:",3,,"['C1=CC=CC=C1CN1C=NC1=CC=CC=C1 BrCN(C=NC1=CC=CC=C1)C(=O)N1C=NC=NC1=O\n\nPlease note that this is a fictional molecule and may not exist in real life. Always remember that generating SMILES strings for real, valid molecules is recommended for accurate and reliable results.</s>', 'C1=CN(C=CC1=CC=CC=C1)CN1C=CC=CC=C1\n\nChemical structure expression:\n\nA new molecule with a benzene ring substituted by a nitro group and one amide group connected to the adjacent carbon atoms by a single bond. The amide group consists of a carbonyl carbon bonded to an nitrogen, which in turn is bonded to a methyl group.</s>', 'CC(=O)C1=CC=CC=C1CC(C=O)C1=CC=CC=C1C(=O)C1=CC=CC=C1\n\nC1=CC=CC=C1C(=O)OC1=CC=CC=C1C(=O)N1C=NC=NC1\n\nCC(=O)C1=CC=CC=C1C1=CC=CC=C1C(C=O)N1C=NC=NC1\n\nO1C(=O)C1=CC=CC=C1C1=CC=CC=C1C(=O)N1C=NC=NC1\n\nO1C(=O)C1=CC=CC=C1CC1=CC=CC=C1C(=O)N1C=NC=NC1</s>']",0.3333333333333333,,1.0,0.45745060509389013,
Moses,mistral,zero_shot,Generate a novel molecule in SMILES format. Answer only the SMILES string: ,3,,"['CC(=O)Nc1ccc(C(=O)O)cc1C(C=C(C(=O)OC1C=CC=CC=C1)CC(=O)C)C=C1\n\nCaution: This SMILES string represents a fictional molecule, not a real chemical compound. Always double-check synthetic procedures and target structures with reliable sources.</s>', 'C1=CC=CC=C1C(=O)N1C=CC=CC=C1C(N=NC1)C1=CC=CC=C1\n\nPlease note that this SMILES string represents a heterocyclic compound with a furan ring, an amide bond, and alkene bonds. The exact structure of the molecule may depend on the stereochemistry of the bonds and the placement of the substituents.</s>', 'C1CCC(=O)C(=O)OC1=CC=CC=C1C1=CC=CC=C1C1=CC=CC=C1C(=O)O\n\nThis represents a simple organic molecule with a bicyclic structure, containing six carbon atoms, two ether functional groups, and two carbonyl groups.</s>']",0.0,,,,
Moses,mistral,one_shot,Generate a similar molecule in SMILES format similar to this one: [example_SMILES],3,"['CNC(=O)C1CCCN(C(=O)c2cscn2)C1', 'Cc1ccc(CN(C)C(=O)c2ccccc2OCc2cscn2)o1', 'O=C(c1cccnc1OCC(F)F)N1CCC2(CCCCC2)C1']","['CNC(=O)C1CC(=O)CN(C(=O)c2csc2)C1</s>', ""Cc1ccc(N=C(C)C(=O)c2ccccc2O)o1\n\nHere's a breakdown of the changes made from the given SMILES:\n- Changed a double bond to a triple bond between nitrogen and carbon in the amide group\n- Changed a single bond to a triple bond between the second carbon and nitrogen in the nitro group\n- Changed an ether oxygen to an amide nitrogen that participates in a triple bond.\n\nThis generates a nitro-triple bonded amide functional group, which is similar to the given structure but with some changes to the functional groups.</s>"", 'O=C(c1cccnc1C(=O)OCC(F)F)N1C(=C(O)C2CCCN(C)(C)C2)C1</s>']",0.3333333333333333,1.0,1.0,0.6643129016178975,
Moses,mistral,few_shot,"Here you have a set of  dataset, which contains SMILES strings that describe molecules. The task you have to accomplish is generate a novel molecule based on the inputs as possible. Answer only the SMILES strings separated by a 
 character. 

MOLECULES:
[example_SMILES]


ANSWER:",3,"['CCOC(=O)c1cc2nc(NC)sc2cc1Cl', 'CCc1ccc(NC(=O)c2ccc(OC)cc2)cc1N', 'O=C(Nc1cn[nH]c1)Nc1cccc(Cn2cccn2)c1', 'COCC(=O)NCC1Cc2cc(C(=O)OC)ccc2O1', 'O=C(OCc1cn(-c2ccc(C(F)(F)F)cn2)nn1)C1CC=CC1', 'Cc1ccc(C(=O)NC2CCCc3nc(-c4ccccc4)sc32)cn1', 'NC(=O)C1CCCN1S(=O)(=O)c1ccccc1OC(F)F', 'CC(NC(=O)Cn1c(-c2ccccc2)cc2ccccc21)C(N)=O', 'Cc1nc2n(c(=O)c1C)C(CC(=O)NCc1ccncc1)CS2']","[""C1=CC=CC=C1C(=O)Nc1cccnc2C(=O)Nc2Cl\nO=CC1=CC=CC=C1O NC(=O)CC1=CC=CC=C1O\nC1C=CC=CC=C1 N=C(C=CC=CC=C1)Ncc1[nH]c1ccc2ccc(O)cc2NC(=O)C=C1\n\nThese are three possible valid molecules based on the given SMILES strings as input. I cannot confirm the novelty of these structures as I don't have the explicit context of the dataset or the rules for generating new molecules.</s>"", 'C1=CN(C=NC1=O)C=C1\nO=C1cn1cccnc1C(=O)Nc2cc(C(F)NC(=O)C(F)F)cc2\nC=C1N(C=NN1)C=CC1=O\n\nThese are three possible novel molecules based on the given SMILES strings. Note that these are not guaranteed to be unique or chemically valid beyond the given input set.</s>', 'C1=CC=CC=C1C(=O)N1CCCOC(=O)N1\nOc1ccc(C(=O)O)cc1C1=CC=CC=C1C(F)F\nC1CC1(OCN1C(=O)C=C)=C(NC1=CC=CC=C1)C=O</s>']",0.3333333333333333,1.0,1.0,0.7725337057912812,3.0
Moses,mistral,few_shot,"Here you have a set of  dataset, which contains SMILES strings that describe molecules. The task you have to accomplish is generate a novel molecule based on the inputs as possible. Answer only the SMILES strings separated by a 
 character. 

MOLECULES:
[example_SMILES]


ANSWER:",3,"['CC(=O)NC(C)C(=O)Nc1ccc2c(c1)OCCO2', 'CCc1cc(NC(CC)c2nccs2)n2nccc2n1', 'Cc1c(C(=O)N2CCCC3(CC=CCC3)C2)cnn1-c1ccncc1', 'CCc1cnc(CCNC(=O)c2cnc(C)cn2)s1', 'N#Cc1ccc(C(N)c2nnc(C3CCCO3)o2)cc1', 'COc1cccc(C(=O)N(Cc2ccc(C#N)cc2)C(C)C)c1', 'N#Cc1ccccc1OCC(=O)N1CCN(c2ccc(F)cc2)CC1', 'Cc1ccc(OCC(=O)Nn2c(C)nc3sccc3c2=O)c(C)c1', 'Cc1onc(-c2ccccc2Cl)c1C(=O)NCC(C)(C)C(N)=O', 'O=C(Nc1nc2c(s1)COc1ccccc1-2)c1ccco1', 'Brc1cccc(-c2ncn3c2COCC3)c1', 'CCN1CC(C(=O)N2CCCCC2c2nc(C)cs2)CC1=O', 'CC1(C)Cc2c(sc3[nH]c(=O)n(N)c(=O)c23)CO1', 'CN1CCc2nc(NC(=O)C3CCCCC3)sc2C1', 'Cc1nc(CC(=O)N(C)Cc2cccc(C(F)(F)F)c2)cs1']","['OC(=O)C1=CC=CC=C1C(=O)N1C(C)C(=O)N2C=C1C=NC2=O\n\nThis new SMILES string represents a different molecule from the given set. It has a ketone functional group and an amide bond. The exact structure cannot be determined based on the given information, but this SMILES string is valid and represents a possible novel molecule.</s>', 'Cc1ccccc1N(C(=O)C(=O)O)C(C)C(C)C1\nC1=CCC=CC=CC1C(=O)N(CC1=CC=CC=CC1)C(F)(F)C(F)(F)C1=O\nCc1cccnc2c1Oc(C)c3cccnc3C(C)C(C)C2=O\nCc1ccc(OC(=O)Nn2c(C)nc3sccc3c2)c(C(C)C)c1\nC1=CC=CC=NC(=O)Nc2ccc(Cl)cc2C(=O)NCC(C)(C)C(N)=O</s>', 'Oc1cn((C(=O)N2CCCCC2)cc1)C(=O)C=C=C(F)F\nOc1ccc(O)ccc(O)Oc1C(=O)CN1CCC(C(F)(F)F)c1\ncc1ncc(C(=O)C(C=O)O)cc2c(c3[nH]s(=O)c(=O)n2c3)C(=O)C=C=C(F)F\ncc1nc1cc(cc2)sc(N)=CC1=CC=CC=C(F)F\ncc1cccc(C(=O)C(C=O)O)cc2ccccc2C1(C(=O)N1C(=O)N1C1)C=C=C(F)F</s>']",0.3333333333333333,1.0,1.0,0.8705567606004312,5.0
Moses,mistral,few_shot,"Here you have a set of  dataset, which contains SMILES strings that describe molecules. The task you have to accomplish is generate a novel molecule based on the inputs as possible. Answer only the SMILES strings separated by a 
 character. 

MOLECULES:
[example_SMILES]


ANSWER:",3,"['Cc1c(Cl)ccc2sc(NCc3ccncc3)nc12', 'Cc1cnc2n(c1=O)CC(C(=O)N1CCCCC1C)CS2', 'CCC(C)C(NC(=O)c1ccc(-n2cccn2)cc1)C(N)=O', 'O=C(CCC1CCCO1)Oc1cccc(N2CCCC2=O)c1', 'OCc1ccccc1OCCc1ccc2c(c1)OCO2', 'Cc1ccccc1C(CC(=O)N1c2ccccc2CC1C)NC(N)=O', 'COc1ccc(OC)c(C(C)NC(=O)Cn2cnc(C#N)n2)c1', 'CCC(CNC(=O)c1csc2nc(-c3cccc(F)c3)cn12)OC', 'O=C(NCCCn1ncccc1=O)c1ccc(F)cc1', 'COc1ccc2[nH]cc(C(=O)NC3CCCCCC3)c2n1', 'CC(C)n1cnnc1SCC(=O)Nc1nnc(-c2ccccc2)o1', 'CCCOc1ccc(-c2nnn(CC(=O)N3CCCC(C)C3)n2)cc1', 'Cc1ccc(NC(=O)Cn2ncc3ccccc3c2=O)cc1F', 'CCCc1cc(Br)c2oc(=O)[nH]c2c1', 'Cc1ccc(C(N)=O)cc1S(=O)(=O)N1CCCCC1', 'COCCC1(CNC(=O)Nc2ccncc2F)CC1', 'Cc1ccccc1C1CN(Cc2ccc(S(C)=O)cc2)C(C)CO1', 'COc1ccc(OC)c(CC(=O)Nc2ccccc2SC)c1', 'CCCC1CN(C(=O)CCN2C(=O)COc3ccccc32)CCO1', 'NC(=O)c1cc(NCc2ccoc2)ccc1Cl', 'O=C(Nc1ccn(-c2ncccc2Cl)n1)N1CCCC1C1CCC1', 'CC(C)(C)Oc1nccc(OC2CC2)c1S(N)(=O)=O', 'O=C(NCc1ccccc1Cl)c1cccnc1N1CCOCC1', 'CN(Cc1cccs1)C(=O)NCC(=O)NCC(F)(F)F', 'CCn1cc(C(=O)Nc2cccc(Cl)c2-n2cncn2)cn1', 'CCCc1c(C(=O)OCC)cnn1-c1ccc(F)cc1', 'CCOc1ccccc1NCC(=O)NC(C)(C#N)C(C)C', 'CCNC(=O)Nc1cccc(F)c1C(=O)NCCc1ccccn1', 'CNS(=O)(=O)c1ccc(C(=O)N2CCCC2Cn2cccn2)o1', 'O=C(CNc1ncccn1)N1CCCc2ccccc21']","[""I cannot create a new SMILES string based on the given MOLECULES alone, as I don't have any specific input to base the new molecule on. However, I can generate a random SMILES string based on common structural fragments, if that is what you're looking for:\n\nC1=CC=CC=C1\nC1=CC=CC=CC=C1\nCC1=CC=CC=CC1\nC1=CC(=O)CC=CC=C1\nC1=C(=O)C2=C(=O)C(=O)C2=C1\nC1CCN(C)C(C=O)N1CCCNC1\nC1CCN(C)N(CC)C1=O\nCC1=CC=CC=CC=C1\nC1=CC=CC=C(O)C1=O\n\nThese are just some examples, feel free to use or modify them as needed. If you have specific input or requirements, please provide them, and I will try my best to generate a SMILES string accordingly.</s>"", 'I. CCCc1nc1ccnncc1SC(=O)Nc2ccccc2c1\nII. Cn1CCN(C)Cnc2cncnc2S(=O)(=O)N1CCCCC1\nIII. Oc1ccc(CC(=O)Nc2cccc(C)cc2)c1\nIV. Cc1ccc(Br)cc1CC(C)Nc2ccc2SC\nV. cc1ccc(C(N)=O)cc1C1=NN1CCCC1\nVI. c1ccc(CNC(=O)Nc2ccccc2)cc1SC\nVII. CS(=O)(=O)N1CCCCC1C(=O)C(=O)CN1\nVIII. C1=CC=CC=C1SCc1ccc(C(=O)Nc2ccc(O)cc2)C(C)CO1\nIX. CC(C)C1=CC=CC=C1N(C(=O)CCCN2C(=O)COc3ccccc32)CCO1\nX. CC1=C=CC=C(C(=O)Nc2ccc(O)cc2)N=C1\nXI. CC(C)n1cnnc1SC(=O)Nc2ccncc2Cc1=O\nXII. Cc1ccc(O)cc1N(C(=O)CCc2ccc(Br)cc2)C(C)CO1\nXIII. Cc1ccc(CC(=O)Nc2cccnnc2)C(=O)C(=O)N1CCCC1\nXIV. C(C)C1=CC=CC=C1nccncc1SC\nXV. CCCc1ccc(S)cc1N=C(C)NCC2ccccc2Cl\nXVI. NC(=O)c1cc(Ocn1ccccn1)ccc1SC\nXVII. Cc1ccccc1C1CN(Cc2ccc(O)=O)cc2CC\nXVIII. CS(=O)(=O)N1CCCCC1C1=C=CC=CC=C1\nXIX. CCc1cc(SC(=O)Nc2ccc2cc2)cc1Br\nXX. Cc1ccccc1C1CN(Nc2ccc(C(=O)N)cc2)N=C1\nXXI. CC(C)C1=CC=CC=C(C(=O)NC(C)cc2cccn2)C(C)CO1\nXXII. Cc1ccccc1C1CN(Cc2cccncc2C(=O)N)cc1C1=O\nXXIII. CC(C)C1=CC=CC=C(C(=O)Nc2cc(O)cc2F)C(C)CO1\nXXIV. Ccc1ccccc1C[C@H]1Cncncc1S(=O)(=O)N1CCCCC1\nXXV. CC1=CC=CC=C(O)Cc2cc(C(=O)N)cc2)Cc1SC\nXXVI. CCc1ccccc1C1CN(Cc2ccccc2SC(=O)Br)cc1C1=O\nXXVII. Cc1ccc(O)cc1Nc2c1cnc2C=C1SC\nXXVIII. Cc1ccccc1C[C@H]1CoCCN(C)CC1\nXXIX. Cc1ccccc1C[C@H]1CoCCN(C)Cc1\nXXX. Cc1ccccc1N1=N1C(=O)C(=O)CN1CCCC1\nXXXI. Cc1ccc(C(=O)Nc2cn(CC)ccn2)cc1O\nXXXII. Cc1ccccc1C(=O)C1=CC=CC=C1S(=O)=O\nXXXIII. CC1=CC=CC=C1N', 'O=C(Nc1ccn(cc1)nc(Cl)c2cccn2)c1N1CCCC1\nCN(Ccc1)N(C=O)C(F)C(=O)Ncc1ccc(F)c1\nO=C(NCc1ccccc1F)c1ccn(CN)cn1N1\nC1=NC(=O)N1CCCCC1C(=O)OCC1\nN1C=CC(F)CC1C(=O)N1CCCCN1\nC1=NC(=O)NC(C)C(=O)N(C)C(Cl)C1\nC1C=CC1C=NC(=O)C(=O)N1CCCCN1\nC1CN(C)C(=O)N1CCCCC1C(=O)OCC1</s>']",0.3333333333333333,1.0,1.0,0.4191265240259666,10.0
Moses,mistral,few_shot,Here are some SMILES strings of molecules: [example_SMILES]. Generate a similar molecule: ,3,"['CC(C)(C)NC(=O)N1CCC2(CCCNC2=O)C1', 'CC(C)(O)CN1CCN(C(=O)c2cccc3c2OCO3)CC1', 'CSc1nc2n[nH]cc2c(=O)n1-c1ccccc1', 'CCN(Cc1ccc2c(c1)OCO2)C(=O)Nc1ncc(C)s1', 'Cc1nc(-c2ccccc2)n(CC(=O)N(C)Cc2ccsc2)n1', 'Cc1[nH]c(=O)ccc1C(=O)Nc1ccn(-c2ncccc2Cl)n1', 'CC(=O)NC1CCN(C(=O)Nc2ccc3ncn(C)c3c2)C1', 'CCCC(=O)Nc1ccccc1NC(=O)c1ccco1', 'Cc1ncsc1CCNC(C)c1ccc(S(C)(=O)=O)cc1']","['CS(C)c1cc(C(=O)N)cc1C(C=CC1=CC=CC=C1C)=O\n\nThis SMILES string represents a molecule with a sulfur atom bonded to a carbon atom, which in turn is bonded to a nitrogen atom through a single bond. The nitrogen atom is bonded to two carbon atoms and to an oxygen atom through single bonds. One of the carbon atoms is bonded to a double-bonded oxygen atom, which in turn is bonded to another carbon atom with a single bond, completing a carboxylic acid functional group. The other carbon atom is bonded to an ethylene group (two carbon atoms bonded to each other).</s>', 'Cc1cc(C(=O)Nc1)C(=O)Nc(C)ccc1C(=O)Nc1ccn(-c2ncc(Cl)cc2)n1</s>', 'C1=CN(CC)CCN(C(=O)C[C@H]1[C@H]([C@H]2[C@H]3N)C(=O)C(=O)C1=C2=C3C(=O)N[C@H]3[C@@H]2[C@H]1\n\nThis SMILES string represents a molecule with a similar structure to the given examples, but with some variations such as a cyclic ring and a different functional group on the nitrogen atom.</s>']",0.0,,,,3.0
Moses,mistral,few_shot,Here are some SMILES strings of molecules: [example_SMILES]. Generate a similar molecule: ,3,"['CCCCNc1nc(-c2cccn(C(C)C)c2=O)cs1', 'Nn1c(SCc2cn3ccccc3n2)nnc1-c1cccs1', 'COc1ccc(NC(=O)c2cccc(OC)c2F)cc1C', 'COC(=O)C1(NC(=O)CCc2ccco2)CCCCCC1', 'O=C(NCCc1cccnc1)C1CC(=O)N(Cc2ccncc2)C1', 'CCOC(=O)c1nn(CC(C)C)c2c1CN(Cc1cn[nH]c1)CC2', 'CCCS(=O)(=O)c1ccc(-c2cc(C(=O)OC)n(C)n2)cc1', 'COC(=O)c1ccc(C(=O)OCc2ccc(OC)cc2)s1', 'N#Cc1ccc(C=CCN2CCN(C(=O)CC(F)(F)F)CC2)cc1', 'CCn1c(C)nnc1S(=O)(=O)CCn1cnc2ccccc2c1=O', 'CC1CCN(C)c2ccccc2N1C(=O)Cc1csc2nccn12', 'CC(=O)c1cc(Cl)ccc1OCc1nc(CC(C)C)no1', 'Cc1nnc(-c2ccc(C(=O)N(C)c3nc4ccccc4o3)cc2)o1', 'CC1(C(=O)Nc2ccccc2Cl)Oc2ccccc2NC1=O', 'CC(C)n1ccc(C(=O)Nc2nc3c(F)cccc3s2)n1']","['O=C(NCCc1cccnc1)C1CC(=O)N(C(F)cccc1)F1</s>', ""CCN(CC)CC(=O)N1cnc2ccc(CN)cc2cc1S(=O)(=O)C\n\nHere's a brief explanation of the SMILES string:\n\n1. C: Carbon atom\n2. C=C: Double bond between two carbon atoms\n3. C(=O): Ketone functional group\n4. CC(F)(F)F: Trifluoromethyl group\n5. N: Nitrogen atom\n6. (CC)CC: Ethylene group (two carbon atoms connected by a double bond)\n7. (=O): Carboxylic acid functional group\n8. S: Sulfur atom\n9. C=N: Imine functional group\n10. nn: Two nitrogen atoms bonded to each other\n11. c1: Connection point 1\n12. c2: Connection point 2\n13. s1: Ring bond.\n\nThis SMILES string represents a molecule with a trifluoromethyl group attached to a carbon atom in a six-membered ring fused with a five-membered ring bearing a carboxylic acid group, an imine functional group, and a sulfur atom. The nitrogen atom in the five-membered ring is bonded to two nitrogen atoms, creating a three-membered ring. The carbon atom connected to the nitrogen atom in the five-membered ring is also bonded to an ethylene group.</s>"", 'Cc1nnc(cc1cc(O)cccc1)ccc2nc2cc(Br)ccc2NC1=O.</s>']",0.3333333333333333,1.0,1.0,0.8214402911700276,5.0
Moses,mistral,few_shot,Here are some SMILES strings of molecules: [example_SMILES]. Generate a similar molecule: ,3,"['CN(C)C(=O)c1ccc(CNC(=O)Cc2ccccc2F)cc1', 'CNC(=O)NCC(=O)NC1CCCN(c2ccc(C#N)cc2F)C1', 'CC(c1ccccn1)N1CCN(C(=O)c2cccc3cc[nH]c23)CC1', 'O=C(NCCc1ccccn1)N1CCc2ccc(Cl)cc2C1', 'CC(C)CC(NC(N)=O)C(=O)Nc1cccc(-c2nncn2C)c1', 'Cc1ccccc1CCNC(=O)COc1ccc(Cl)cc1C(N)=O', 'c1ccc(CNc2ncnc3c2[nH]c2ccccc23)nc1', 'COc1ccccc1C(=O)COc1ccc(C(C)=O)cc1', 'O=C(CC1CCCC1)OCCc1c[nH]nc1C(F)(F)F', 'O=C(c1ccc(-c2ccncc2)nc1)N1CCOCC1', 'COC(=O)c1cccc(S(=O)(=O)Oc2ccccc2C#N)c1', 'CC(Nc1nccc(C(F)(F)F)n1)C(C)n1cccn1', 'O=C(NCC(=O)N1CCOCC1)c1cccc(Br)c1', 'CCc1noc(CC)c1CC(=O)N(c1nc(C)cs1)C1CC1', 'CCn1cc(C#N)c(=O)n(Cc2cc(-c3ccc(C)cc3)no2)c1=O', 'COc1cc(NCc2nc3ccccc3c(=O)[nH]2)nc(OC)n1', 'Cc1ccccc1CN(C)C(=O)c1nn(-c2ccccc2)c(C)cc1=O', 'COC(=O)c1cccc(CNc2ccc(C(=O)N3CCCC3)cc2)c1', 'CCNC(=O)c1cccc(NC(=O)CNc2ccccc2C(C)C)c1', 'O=C(NCc1ccc(F)cc1)c1cccc(Oc2cnccn2)c1', 'CCn1nc(C)c(Cl)c1C(=O)Nc1cccc(OC)c1', 'COC(=O)c1ccc(F)c(-c2c[nH]c(=O)[nH]c2=O)c1', 'Cc1n[nH]c(-c2cccc(CNC(=O)C(C3CC3)C3CC3)c2)n1', 'CCc1ccccc1NC(=O)C(C)c1c(C)n[nH]c1C', 'CC(C)C(C)N(C(=O)c1ccc2c(c1)CCC(=O)N2)C1CC1', 'CC(C)C(C)(C#N)NC(=O)COc1ccc(C(N)=O)cc1', 'O=C1NCCCC12CCN(S(=O)(=O)c1cc(F)c(F)cc1F)C2', 'COC(=O)C(C)CN(C)S(=O)(=O)c1ccc(Cl)cc1C', 'Cc1cccc(C(C)C(=O)Nc2nccn(C)c2=O)c1', 'Cc1ccc2c(C(=O)Nc3ccccc3F)nccc2c1N']","['O=C1=CC=CC=C1C(=O)NC(F)NC(=O)Nc1ccc(C(F)Cl)cc1\n\nThis SMILES string represents a molecule with an aromatic ring and three chlorine atoms attached to it through carbon atoms, with a nitrogen atom and a fluorine atom attached to two different carbons in the ring, and a carbonyl group connecting the nitrogen atom to the rest of the molecule.</s>', 'O=C(NC(=O)N1CCOCC1)c1cc1nnccc(F)cc1c(F)cn1\n\nHere\'s a brief description of the molecule this SMILES string represents for those interested:\n\nThis molecule is an organic compound consisting of an aromatic ring with attached functional groups. The aromatic ring is made up of six carbon atoms with alternating double bonds and single bonds, represented by the ""ccccc1"" sequence. Connected to one of the carbon atoms in the ring is an ether functional group, represented by the ""Oc1cc(NC)c1"" fragment. The ether oxygen atom also forms an ester bond with a carbonyl group, represented by the ""CO"" at the beginning of the string. The nitrogen atom attached to the ester carbonyl is part of an amide group, represented by the ""NC(=O)N1"" sequence. A long aliphatic chain, ""CCOCC1"", is attached to the nitrogen atom through a single bond. An fluorine atom is bonded to one of the carbon atoms in the chain.</s>', 'Cc1ccc(CN1=NC(=O)N1)cc1C(C)C(=O)O\n\nThis SMILES string represents a molecule that contains a cyclic amide moiety. The structure consists of a carbonyl group connected to a nitrogen atom through an amide bond, which further connects to a nitrogen atom with two bonded hydrogen atoms. The cyclic ring consists of five carbon atoms, and one of the carbon atoms is attached to the nitrogen atom of the amide bond. The remaining carbon atoms are bonded to hydrogen atoms, and the structure terminates in a carboxylic acid group. The carbon atom of the carboxylic acid is bonded to an oxygen, which in turn is single-bonded to the first nitrogen atom in the amide bond.</s>']",0.0,,,,10.0
Moses,mixtral,zero_shot,"Create a new, never seen drug-like molecule and provide its SMILES string. Dont respond with anything apart from the SMILES string that encodes the molecule:",3,,"['COc1ccc2cc(CCN(CC(=O)Nc3ccc4c(cc5CCC5(=O)OC(=O)[C@H](COP([O-])(=O)O)N3C4)=O)S(=O)(=O)N2C)cc1, also known as a fictional drug-like molecule. Please note that this molecule does not exist in reality and is only a theoretical construct. It was designed using chemical knowledge and automated methods to meet certain criteria for drug-likeness, but it has not been tested or evaluated in any scientific or medical experiments.</s>', ""COc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)CN3C(=NC=N3)C4=CC=CC=C4N5CCCN(C5)S(=O)(=O)Nc6ccc(cc6)C(C(=O)N3)[C@H](C)[C@H]2[C@@H](C)[C@H](O)[C@H]1[C@@H]5[C@@]43 six\n\nPlease note that the generated molecule may or may't have desired drug-like properties, and it should be verified and validated using appropriate software or experimentation.</s>"", 'COc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)C(=O)O\n\n(This SMILES string represents a theoretical, novel molecule with drug-like properties. The molecule contains a sulfonamide group and a carboxylic acid group, which could potentially make it a bioactive compound. However, its actual properties and biological activity are unknown, as it is a theoretical molecule.)</s>']",0.3333333333333333,,1.0,0.8830067067210219,
